产品编码（必填）,版本(必填),母件(上级产品编码),母件版本(上级组件版本),组件数量,损耗率,管理单位,派工关键件,关键件类型,上级工艺路线,上级工序行号
1001,11,,,,0,0,,,,
ST20102018,11,1001,11,1,0,0,,,,
ST22201137,11,1001,11,1,0,0,,,,
DF1301U00,11,1001,11,1,0,0,,,,
F2ZBQ235At6,11,DF1301U00,11,2,0,0,,,,
ZBQ235At6,11,F2ZBQ235At6,11,2,0,0,,,,
F245F60,11,DF1301U00,11,2,0,0,,,,
YG45F60,11,F245F60,11,190,0,0,,,,
F2HGQ235AF60X3d5,11,DF1301U00,11,1,0,0,,,,
HGQ235AF60X3d5,11,F2HGQ235AF60X3d5,11,728,0,0,,,,
F2Q235At6,11,DF1301U00,11,1,0,0,,,,
ZBQ235At6,11,F2Q235At6,11,55,0,0,,,,
D1302U00L,11,1001,11,1,0,0,,,,
D1302U00R,11,1001,11,1,0,0,,,,
D2001U02,11,1001,11,1,0,0,,,,
QUH40X20,11,1001,11,1,0,0,,,,
D2001U01B,11,1001,11,1,0,0,,,,
ST11001312,11,D2001U01B,11,9,0,0,,,,
D2001U15B,11,1001,11,1,0,0,,,,
ST20804201,11,D2001U15B,11,16,0,0,,,,
ST20501072,11,1001,11,1,0,0,,,,
DF1019U00,11,1001,11,1,0,0,,,,
ST21601042,11,DF1019U00,11,1,0,0,,,DF1019U00(11),10
ST21601021,11,DF1019U00,11,2,0,0,,,DF1019U00(11),10
ST21601050,11,DF1019U00,11,1,0,0,,,DF1019U00(11),10
ST30151050,11,1001,11,1,0,0,,,,
DF1108U00B,11,ST30151050,11,1,0,0,,,,
F14Q235AF32,11,DF1108U00B,11,1,0,0,,,,
YGQ235AF32,11,F14Q235AF32,11,110,0,0,,,,
F14CG12,11,DF1108U00B,11,2,0,0,,,,
CG12,11,F14CG12,11,2763,0,0,,,,
F14Q235At4,11,DF1108U00B,11,4,0,0,,,,
ZBQ235At4,11,F14Q235At4,11,90,0,0,,,,
ST30110080,11,ST30151050,11,1,0,0,,,,
F49JG40X40X4,11,ST30110080,11,1,0,0,,,,
JG40X40X4,11,F49JG40X40X4,11,155,0,0,,,,
F49FG40X40X2d5,11,ST30110080,11,1,0,0,,,,
FG40X40X2d5,11,F49FG40X40X2d5,11,375,0,0,,,,
ST30111020,11,ST30151050,11,1,0,0,,,,
F46201t2,11,ST30111020,11,1,0,0,,,,
ZB201t2,11,F46201t2,11,100,0,0,,,,
F46Q235t2,11,ST30111020,11,2,0,0,,,,
ZBQ235At2,11,F46Q235t2,11,1330,0,0,,,,
ST20902018,11,ST30151050,11,1,0,0,,,,
ST30212005,11,ST30151050,11,2,0,0,,,,
ST30212005M,11,ST30212005,11,1,0,0,,,,
ST20902341,11,1001,11,8,0,0,,,,
ST21505151,11,1001,11,8,0,0,,,,
ST30115000,11,1001,11,1,0,0,,,,
ST20901480,11,ST30115000,11,1,0,0,,,,
DF1501U00B,11,ST30115000,11,1,0,0,,,,
F5CG05,11,DF1501U00B,11,1,0,0,,,,
F516Mnt4,11,DF1501U00B,11,2,0,0,,,,
ZB16Mnt4,11,F516Mnt4,11,594,0,0,,,,
F51Cr13,11,DF1501U00B,11,2,0,0,,,,
ZB201t2,11,F51Cr13,11,100,0,0,,,,
F5ZB201t2,11,DF1501U00B,11,1,0,0,,,,
ZB201t2,11,F5ZB201t2,11,100,0,0,,,,
DF1502U01B,11,ST30115000,11,1,0,0,,,,
F52ZB120t2,11,DF1502U01B,11,2,0,0,,,,
ZB120t2,11,F52ZB120t2,11,100,0,0,,,,
F52JG40X40X5,11,DF1502U01B,11,2,0,0,,,,
JG40X40X5,11,F52JG40X40X5,11,50,0,0,,,,
F52120t2,11,DF1502U01B,11,11,0,0,,,,
ZB201t2,11,F52120t2,11,100,0,0,,,,
ST25201031,11,1001,11,2,0,0,,,,
ST20803213,11,1001,11,2,0,0,,,,
ST21601003,11,1001,11,1,0,0,,,,
ST20902124,11,1001,11,2,0,0,,,,
ST50806122,11,1001,11,6,0,0,,,,
D1400U00,11,1001,11,1,0,0,,,,
ST2150107701,11,D1400U00,11,1,0,0,,,,
ST20401021,11,D1400U00,11,1,0,0,,,,
ST30114010,11,D1400U00,11,1,0,0,,,,
F7ZB16Mnt3,11,ST30114010,11,1,0,0,,,,
ZBQ235At1d5,11,F7ZB16Mnt3,11,200,0,,,,,
F7Q235t1d5,11,ST30114010,11,1,0,0,,,,
ZBQ235At1d5,11,F7Q235t1d5,11,1723,0,0,,,,
F7FG80X60X2,11,ST30114010,11,2,0,0,,,,
FG80X60X2,11,F7FG80X60X2,11,1200,0,0,,,,
F7JG30X30X4,11,ST30114010,11,4,0,0,,,,
JG3X30X4,11,F7JG30X30X4,11,460,0,0,,,,
ST3011405001,11,D1400U00,11,1,0,1,,,,
ST3011405001M,11,ST3011405001,11,1,0,0,,,,
DF1900U00,11,1001,11,1,0,1,,,,
ST20210001,11,DF1900U00,11,1,0,0,,,,
ST50809031,11,DF1900U00,11,1,0,0,,,,
ST22301162,11,DF1900U00,11,1,0,0,,,,
